Date,PortfolioOpen,PreviousIndiaTradingDate,PreviousPortfolioClose,PreviousNIFTY50Close,PreviousUKTradingDate,PreviousFTSE100Close,PreviousUStradingDate,PreviousSNP500Close,HongKongTradingDate,HANGSENOpen,BRENTClose,GOLDClose,BTCINR,PreviousUS5yrBondYieldClose,PreviousIndia5YRBondYieldClose,USDINRLastClose,GBPINRLastClose
02/03/2021,122447400,,,,,,,,,,,,,,Price,,
03/03/2021,123654600,02/03/2021,122583200,14919.1,02/03/2021,6613.75,02/03/2021,3870.29,03/03/2021,29249.43,59.75,1733.6,3554923.485,6.75,5.777,73.2775,102.234
04/03/2021,121784650,03/03/2021,124015300,15245.6,03/03/2021,6675.47,03/03/2021,3819.72,04/03/2021,29525.48,61.28,1715.8,3670932.633,7.27,5.798,72.8807,101.5616
05/03/2021,121049600,04/03/2021,122129800,15080.75,04/03/2021,6650.88,04/03/2021,3768.47,05/03/2021,28667.14,63.83,1700.7,3547903.045,7.82,5.79,73.1318,101.5621
08/03/2021,121335200,05/03/2021,120400350,14938.1,05/03/2021,6630.52,05/03/2021,3841.94,08/03/2021,29362.59,66.09,1698.5,3727922.863,7.85,5.849,73.1334,101.1271
09/03/2021,122286300,08/03/2021,120937650,14956.2,08/03/2021,6719.13,08/03/2021,3821.35,09/03/2021,28665.26,65.05,1678,3835480.062,8.5,5.845,73.33,101.3862
10/03/2021,123432200,09/03/2021,122635500,15098.4,09/03/2021,6730.34,09/03/2021,3875.44,10/03/2021,29255.37,63.69,1716.9,3996596.886,8.21,5.855,72.7759,101.067
12/03/2021,125308750,10/03/2021,122988950,15174.8,11/03/2021,6736.96,11/03/2021,3939.34,12/03/2021,29550.37,65.66,1722.6,4198330.732,7.78,5.881,72.639,101.6205
15/03/2021,122374700,12/03/2021,122259850,15030.95,12/03/2021,6761.47,12/03/2021,3943.34,15/03/2021,28923.95,65.64,1719.8,4319487.581,8.47,5.872,72.683,101.1747
16/03/2021,121076450,15/03/2021,120738250,14929.5,15/03/2021,6749.7,15/03/2021,3968.94,16/03/2021,29036.82,65.44,1729.2,4042299.567,8.31,5.845,72.5153,100.7876
17/03/2021,120598800,16/03/2021,119870950,14910.45,16/03/2021,6803.61,16/03/2021,3962.71,17/03/2021,28992.24,64.86,1730.9,4127544.169,8.24,5.822,72.5156,100.8109
18/03/2021,119229500,17/03/2021,118148600,14721.3,17/03/2021,6762.67,17/03/2021,3974.12,18/03/2021,29317.61,64.63,1727.1,4260213.7,7.8,5.833,72.2956,100.9487
19/03/2021,117145900,18/03/2021,117775400,14557.85,18/03/2021,6779.68,18/03/2021,3915.46,19/03/2021,29158.48,60.06,1732.5,4189000.12,8.69,5.803,72.6688,101.1924
22/03/2021,118765750,19/03/2021,118864450,14744,19/03/2021,6708.71,19/03/2021,3913.1,22/03/2021,28801.09,61.44,1743.9,4161191.553,8.81,5.761,72.405,100.2027
23/03/2021,118402500,22/03/2021,118251250,14736.4,22/03/2021,6726.1,22/03/2021,3940.59,23/03/2021,29008.02,61.56,1740.4,3915336.02,8.6,5.713,72.3805,100.3401
24/03/2021,118579650,23/03/2021,119440800,14814.75,23/03/2021,6699.19,23/03/2021,3910.52,24/03/2021,28437.49,57.76,1727.5,3947067.557,8.29,5.671,72.6122,99.77087
25/03/2021,117769000,24/03/2021,117140450,14549.4,24/03/2021,6712.89,24/03/2021,3889.14,25/03/2021,27628.08,61.18,1735.5,3796980.641,8.14,5.684,72.6456,99.39749
26/03/2021,117557950,25/03/2021,115513650,14324.9,25/03/2021,6674.83,25/03/2021,3909.52,26/03/2021,28043.65,58.56,1727.3,3726310.481,8.19,5.641,72.6128,99.80891
30/03/2021,118683850,26/03/2021,117381250,14507.3,29/03/2021,6736.17,29/03/2021,3971.09,30/03/2021,28552.77,61.56,1714.6,4190900.762,8.91,5.622,72.7419,100.1961
31/03/2021,121015400,30/03/2021,121333750,14845.1,30/03/2021,6772.12,30/03/2021,3958.55,31/03/2021,28802.53,60.55,1686,4317599.48,9.1,5.678,73.4453,100.8612
01/04/2021,119383150,31/03/2021,118944150,14690.7,31/03/2021,6713.63,31/03/2021,3972.89,01/04/2021,28594.55,59.16,1715.6,4304380.5,9.38,5.705,73.2035,100.8506
05/04/2021,119020200,01/04/2021,119357000,14867.35,01/04/2021,6737.3,01/04/2021,4019.87,07/04/2021,29101.4,61.45,1728.4,4270512.425,9.07,-1,73.376,101.437
06/04/2021,117436250,05/04/2021,116724000,14637.8,01/04/2021,6737.3,05/04/2021,4077.91,07/04/2021,29101.4,58.65,1728.8,4332518.659,9.41,5.573,73.2795,101.8746
07/04/2021,117017700,06/04/2021,117051300,14683.5,06/04/2021,6823.55,06/04/2021,4073.94,07/04/2021,29101.4,59.33,1743,4263500.108,8.72,5.574,73.49,101.6066
08/04/2021,118228550,07/04/2021,117732700,14819.05,07/04/2021,6885.32,07/04/2021,4079.95,08/04/2021,28604.12,59.81,1741.6,4163202.002,8.56,5.609,74.4015,102.1947
09/04/2021,116656000,08/04/2021,116867650,14873.8,08/04/2021,6942.22,08/04/2021,4097.17,09/04/2021,29152.44,59.63,1758.2,4325065.684,8.4,5.569,74.5445,102.3958
12/04/2021,114724000,09/04/2021,116427200,14834.85,09/04/2021,6915.75,09/04/2021,4128.8,12/04/2021,28791.97,59.35,1744.8,4482977.918,8.68,5.583,74.7295,102.4436
13/04/2021,111926600,#N/A,#N/A,#N/A,12/04/2021,6889.12,12/04/2021,4127.99,13/04/2021,28557.84,59.75,1732.7,4490933.496,8.9,5.589,74.991,103.1013
15/04/2021,115338950,13/04/2021,114930500,14504.8,14/04/2021,6939.58,14/04/2021,4124.66,15/04/2021,28872.82,63.22,1736.3,4698487.655,8.6,-1,75.0261,103.4019
16/04/2021,116729500,15/04/2021,116479750,14581.45,15/04/2021,6983.5,15/04/2021,4170.42,16/04/2021,28827.17,63.51,1766.8,4725552.403,7.92,5.637,74.7274,102.9944
19/04/2021,114078100,16/04/2021,117070550,14617.85,16/04/2021,7019.53,16/04/2021,4185.47,19/04/2021,28960.13,63.19,1780.2,4196013.41,8.21,5.59,74.5632,103.1052
20/04/2021,116396850,19/04/2021,115273850,14359.45,19/04/2021,7000.08,19/04/2021,4163.26,20/04/2021,28962.8,63.43,1770.6,4168550.702,8.31,5.536,74.8782,104.7573
22/04/2021,113927900,20/04/2021,114683150,14296.4,21/04/2021,6895.29,21/04/2021,4173.42,22/04/2021,28716.98,61.35,1793.1,4058776.788,8.02,5.545,75.4295,105.0724
23/04/2021,114698400,22/04/2021,115438550,14406.15,22/04/2021,6938.24,22/04/2021,4134.98,23/04/2021,28798.45,61.43,1782,3882366.452,8.02,5.527,75.0917,103.91
26/04/2021,114523900,23/04/2021,114353200,14341.35,23/04/2021,6938.56,23/04/2021,4180.17,26/04/2021,29106.45,62.14,1777.8,3673003.816,8.16,5.439,74.8681,103.8372
27/04/2021,114073850,26/04/2021,113978250,14485,26/04/2021,6963.12,26/04/2021,4187.62,27/04/2021,28895.38,61.91,1780.1,4041304.92,8.31,5.416,74.8149,103.9434
28/04/2021,116009450,27/04/2021,115770700,14653.05,27/04/2021,6944.97,27/04/2021,4186.72,28/04/2021,28991.94,62.94,1778.8,4105110.404,8.78,5.424,74.575,103.6871
29/04/2021,118797100,28/04/2021,117979950,14864.55,28/04/2021,6963.67,28/04/2021,4183.18,29/04/2021,29268.21,63.86,1773.9,4079285.672,8.64,5.427,74.3118,103.6748
30/04/2021,116120250,29/04/2021,117665700,14894.9,29/04/2021,6961.48,29/04/2021,4211.47,30/04/2021,29143.43,65.01,1768.3,3970868.94,8.67,5.427,74.1058,103.3315
03/05/2021,113280250,30/04/2021,114376900,14631.1,30/04/2021,6969.81,30/04/2021,4181.17,03/05/2021,28659.91,63.58,1767.7,4195639.615,8.57,5.42,74.0948,102.3741
04/05/2021,115088450,03/05/2021,115014200,14634.15,30/04/2021,6969.81,03/05/2021,4192.66,04/05/2021,28438.15,64.49,1791.8,4223334.705,8.29,5.573,73.8375,102.6689
05/05/2021,113850400,04/05/2021,113011750,14496.5,04/05/2021,6923.17,04/05/2021,4164.66,05/05/2021,28427.67,65.69,1776,3928142.126,8.21,5.594,73.7789,102.4647
06/05/2021,115828200,05/05/2021,115293100,14617.85,05/05/2021,7039.3,05/05/2021,4167.59,06/05/2021,28647.97,65.63,1784.3,4244631.149,8.03,5.566,73.7994,102.6298
07/05/2021,115766950,06/05/2021,115007050,14724.8,06/05/2021,7076.17,06/05/2021,4201.62,07/05/2021,28721.13,64.71,1815.7,4155187.267,7.97,5.519,73.6152,102.2929
10/05/2021,116825300,07/05/2021,115900900,14823.15,07/05/2021,7129.71,07/05/2021,4232.6,10/05/2021,28776.99,64.9,1831.3,4268324.367,7.71,5.537,73.2903,102.8426
11/05/2021,116430550,10/05/2021,117763000,14942.35,10/05/2021,7123.68,10/05/2021,4188.43,11/05/2021,28286.56,64.92,1837.6,4101666.751,7.82,5.54,73.5,103.7873
12/05/2021,118197750,11/05/2021,117415100,14850.75,11/05/2021,6947.99,11/05/2021,4152.1,12/05/2021,28073.92,65.3,1836.1,4164484.027,8.01,5.549,73.3751,103.7826
14/05/2021,118966950,12/05/2021,118939150,14696.5,13/05/2021,6963.33,13/05/2021,4112.5,14/05/2021,27872.69,63.84,1824,3649812.662,8.37,5.551,73.4449,103.1693
17/05/2021,118981750,14/05/2021,118437800,14677.8,14/05/2021,7043.61,14/05/2021,4173.85,17/05/2021,28130.51,65.36,1838.1,3403867.812,8.16,5.574,73.2789,103.3364
